49606.000000;48.418167;-4.472038;156.900000;
49607.000000;48.418170;-4.472040;156.300000;
49608.000000;48.418170;-4.472042;155.700000;
49609.000000;48.418173;-4.472043;155.000000;
49610.000000;48.418177;-4.472045;154.300000;
49611.000000;48.418180;-4.472047;153.400000;
49612.000000;48.418180;-4.472047;152.700000;
49613.000000;48.418182;-4.472047;151.900000;
49614.000000;48.418177;-4.472043;151.300000;
49615.000000;48.418180;-4.472045;150.600000;
49616.000000;48.418182;-4.472047;149.800000;
49617.000000;48.418180;-4.472047;149.100000;
49618.000000;48.418183;-4.472048;148.300000;
49619.000000;48.418187;-4.472048;147.500000;
49633.000000;48.418072;-4.471993;147.200000;
49634.000000;48.418077;-4.471995;146.700000;
49635.000000;48.418083;-4.471998;146.200000;
49636.000000;48.418090;-4.472002;145.600000;
49637.000000;48.418097;-4.472005;144.900000;
49638.000000;48.418103;-4.472008;144.200000;
49639.000000;48.418110;-4.472012;143.300000;
49640.000000;48.418117;-4.472015;142.500000;
49641.000000;48.418122;-4.472018;141.600000;
49642.000000;48.418128;-4.472022;140.600000;
49643.000000;48.418133;-4.472025;139.700000;
49644.000000;48.418138;-4.472028;138.600000;
49645.000000;48.418143;-4.472030;137.600000;
49646.000000;48.418150;-4.472033;136.500000;
49647.000000;48.418155;-4.472037;135.400000;
49648.000000;48.418160;-4.472038;134.300000;
49649.000000;48.418165;-4.472042;133.300000;
49650.000000;48.418168;-4.472043;132.100000;
49651.000000;48.418173;-4.472045;131.000000;
49652.000000;48.418177;-4.472048;129.900000;
49653.000000;48.418180;-4.472050;128.800000;
49654.000000;48.418183;-4.472052;127.600000;
49655.000000;48.418187;-4.472053;126.500000;
49656.000000;48.418190;-4.472055;125.300000;
49657.000000;48.418193;-4.472057;124.200000;
49658.000000;48.418197;-4.472058;123.100000;
49659.000000;48.418200;-4.472058;122.000000;
49660.000000;48.418202;-4.472060;120.900000;
49661.000000;48.418205;-4.472062;119.800000;
49662.000000;48.418207;-4.472063;118.700000;
49663.000000;48.418210;-4.472065;117.700000;
49664.000000;48.418212;-4.472065;116.600000;
49665.000000;48.418213;-4.472067;115.600000;
49666.000000;48.418215;-4.472068;114.600000;
49667.000000;48.418217;-4.472068;113.500000;
49668.000000;48.418218;-4.472070;112.500000;
49669.000000;48.418220;-4.472070;111.600000;
49670.000000;48.418222;-4.472070;110.600000;
49671.000000;48.418222;-4.472072;109.700000;
49672.000000;48.418223;-4.472072;108.700000;
49673.000000;48.418225;-4.472073;107.800000;
49674.000000;48.418225;-4.472073;106.900000;
49675.000000;48.418227;-4.472075;106.000000;
49676.000000;48.418227;-4.472075;105.200000;
49677.000000;48.418227;-4.472075;104.300000;
49678.000000;48.418228;-4.472077;103.500000;
49679.000000;48.418228;-4.472077;102.700000;
49680.000000;48.418230;-4.472078;101.800000;
49681.000000;48.418230;-4.472078;101.100000;
49682.000000;48.418230;-4.472078;100.300000;
49683.000000;48.418230;-4.472080;99.500000;
49684.000000;48.418230;-4.472080;98.800000;
49685.000000;48.418232;-4.472080;98.100000;
49686.000000;48.418232;-4.472082;97.400000;
49687.000000;48.418232;-4.472082;96.700000;
49688.000000;48.418232;-4.472082;96.000000;
49689.000000;48.418232;-4.472082;95.300000;
49690.000000;48.418232;-4.472083;94.700000;
49691.000000;48.418232;-4.472083;94.100000;
49692.000000;48.418232;-4.472085;93.400000;
49693.000000;48.418232;-4.472085;92.800000;
49694.000000;48.418232;-4.472085;92.300000;
49695.000000;48.418232;-4.472085;91.700000;
49696.000000;48.418232;-4.472085;91.200000;
49697.000000;48.418232;-4.472085;90.700000;
49698.000000;48.418232;-4.472087;90.200000;
49699.000000;48.418232;-4.472087;89.700000;
49700.000000;48.418232;-4.472087;89.200000;
49701.000000;48.418232;-4.472087;88.800000;
49702.000000;48.418230;-4.472087;88.400000;
49703.000000;48.418230;-4.472087;87.900000;
49704.000000;48.418230;-4.472088;87.500000;
49705.000000;48.418230;-4.472088;87.200000;
49706.000000;48.418230;-4.472088;86.800000;
49707.000000;48.418230;-4.472088;86.400000;
49708.000000;48.418228;-4.472088;86.100000;
49709.000000;48.418228;-4.472088;85.800000;
49710.000000;48.418227;-4.472088;85.500000;
49711.000000;48.418227;-4.472088;85.200000;
49712.000000;48.418227;-4.472088;84.900000;
49713.000000;48.418225;-4.472087;84.700000;
